rank	pert_id	pert_iname	response_source	net_sig_protective_genes	n_sig_protective_genes	n_sig_opposing_genes	protective_genes_abs1	opposing_genes_abs1	clinical_phase	moa	target	disease_area	indication	reasonableness	biology_read	condition_evidence	max_stress_module_score	stress_module_cutoff	cytotoxic_signature_similarity	cytotoxic_similarity_cutoff	stress_toxicity_filter_reason
1	BRD-K01868942	RS-23597-190	observed_thp1	3	4	1	PICALM|ZYX|CTSH|BIN1	CASS4	Preclinical	serotonin receptor antagonist	HTR4	not annotated		plausible_with_caveats	HTR4 signaling is relevant to CNS and immune physiology, but an HTR4-antagonist mechanism is not an established microglial AD strategy. The 4:1 pattern is interesting but mechanistically weak without target validation in THP1.	unreplicated_single_profile	0.374075	0.8985444247722632	0.40921873	0.5359419941902162	pass
2	BRD-K01779529	fluoropyruvate	observed_thp1	3	4	1	PICALM|CASS4|USP6NL|RHOH	PSMC3	not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Fluoropyruvate perturbs core pyruvate metabolism. The 4:1 pattern is therefore likely driven by broad bioenergetic stress rather than a tractable, selective protective mechanism.	unreplicated_single_profile	0.67662853	0.8985444247722632	-0.3126615	0.5359419941902162	pass
3	BRD-A98248982	BRD-A98248982	observed_thp1	3	3	0	PLEKHA1|EPHA1|RHOH		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:0 pattern is favorable, but the perturbagen has no resolved name, MOA, or target annotation. Chemical identity and orthogonal target data are required before biological interpretation.	unreplicated_single_profile	0.30235714	0.8985444247722632	-0.021312077	0.5359419941902162	pass
4	BRD-K30677119	PP-30	observed_thp1	3	3	0	CTSH|GSTK1|CASS4		not annotated	not annotated	not annotated	not annotated		uninterpretable	PP-30 has a 3:0 pattern but lacks a reliable public MOA annotation in the current resources. It remains a chemical-signature lead rather than a biologically interpretable candidate.	unreplicated_single_profile	0.7140571	0.8985444247722632	0.112061895	0.5359419941902162	pass
5	BRD-K75532464	FTI-276	observed_thp1	3	3	0	USP6NL|CASS4|PICALM		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	FTI-276 inhibits protein farnesylation and can alter RAS-family signaling, vesicle trafficking, and inflammatory programs. Those processes are relevant to myeloid biology, but prenylation inhibition is broad and the 3:0 result needs confirmation with better-characterized inhibitors.	unreplicated_single_profile	0.7207584	0.8985444247722632	-0.20098895	0.5359419941902162	pass
6	BRD-K71799778	BML-259	observed_thp1	3	3	0	PICALM|CASP2|EPHA1		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	BML-259 inhibits CDK5 and CDK2. CDK5 has neurodegeneration relevance, but a THP1 signature may also reflect CDK2 or broader kinase effects; the 3:0 pattern supports use as a pathway probe, not yet as a therapeutic lead.	unreplicated_single_profile	0.21625002	0.8985444247722632	-0.067380965	0.5359419941902162	pass
7	BRD-K16701932	Gly-Gly-PALO	observed_thp1	3	3	0	PLEKHA1|ZYX|RABEP1		not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Gly-Gly-PALO inhibits ornithine transcarbamylase and perturbs arginine/urea-cycle metabolism. The 3:0 pattern may reflect metabolic stress, with little direct support for selective microglial AD benefit.	unreplicated_single_profile	0.080125	0.8985444247722632	-0.20682171	0.5359419941902162	pass
8	BRD-K37694030	doxepin	observed_thp1	3	3	0	CASP2|RHOH|BIN1		Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression|anxiety	plausible_with_caveats	Doxepin is CNS-penetrant and modulates histamine and monoamine signaling, but sedation and anticholinergic burden limit an AD-repurposing argument. The 3:0 THP1 pattern has no clear target-level link to the coloc genes.	replicated_consistent	0.6378361	0.8985444247722632	0.41902372	0.5359419941902162	pass
9	BRD-A73680854	PT-630	observed_thp1	2	4	2	RHOH|ZYX|CASS4|RABEP1	USP6NL|CTSH	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	PT-630 inhibits FAP and related dipeptidyl peptidases, which can affect immune signaling. Its 4:2 pattern is mixed, and there is no strong evidence that this extracellular-protease mechanism is beneficial in microglia or AD.	unreplicated_single_profile	0.5574333	0.8985444247722632	-0.2772899	0.5359419941902162	pass
10	BRD-K53903639	CHEMBL-1222381	observed_thp1	2	3	1	RABEP1|ZYX|CASP2	USP6NL	not annotated	not annotated	not annotated	not annotated		uninterpretable	CHEMBL-1222381 has a 3:1 pattern but no usable MOA or target annotation in the current resources. The result is not biologically interpretable without identity and pharmacology curation.	unreplicated_single_profile	0.30750713	0.8985444247722632	-0.075706184	0.5359419941902162	pass
11	BRD-K93176058	AC-55649	observed_thp1	2	3	1	RHOH|CTSH|PICALM	USP6NL	Preclinical	retinoid receptor agonist	RARA|RARB	not annotated		plausible_with_caveats	AC-55649 is an RAR-alpha/beta agonist. Retinoid signaling can alter myeloid differentiation and inflammatory state, making the 3:1 pattern plausible, but it is preclinical and includes an opposing USP6NL effect.	unreplicated_single_profile	0.55113506	0.8985444247722632	-0.1057735	0.5359419941902162	pass
12	BRD-K12762134	XAV-939	observed_thp1	2	3	1	EPHA1|BIN1|CASS4	CASP2	Preclinical	tankyrase inhibitor	TNKS|TNKS2	not annotated		plausible_with_caveats	XAV-939 inhibits tankyrase and alters Wnt/beta-catenin and PAR-dependent signaling. These pathways intersect with inflammation and glial state, but the mechanism is broad and the 3:1 pattern needs microglial validation.	unreplicated_single_profile	0.21893334	0.8985444247722632	-0.060170867	0.5359419941902162	pass
13	BRD-K27316855	calcitriol	observed_thp1	2	3	1	BIN1|RABEP1|CASS4	PICALM	Launched	vitamin D receptor agonist	VDR	endocrinology|orthopedics	hypocalcemia|hypoparathyroidism|osteoporosis	plausible_with_caveats	Calcitriol activates VDR and has established immunomodulatory effects in myeloid cells. The 3:1 pattern is coherent, but systemic calcium effects, CNS exposure, and the opposing PICALM response require caution.	unreplicated_single_profile	0.33624288	0.8985444247722632	-0.34469053	0.5359419941902162	pass
14	BRD-K71726959	BRD-K71726959	observed_thp1	2	3	1	PICALM|GSTK1|CASP2	EPHA1	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is favorable, but no resolved compound identity, MOA, or target is available. It should remain an uncharacterized transcriptional lead until the perturbagen is identified.	unreplicated_single_profile	0.64225	0.8985444247722632	0.152826	0.5359419941902162	pass
15	BRD-K52836380	AZD-7545	observed_thp1	2	3	1	RHOH|BIN1|CASP2	CASS4	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	AZD-7545 inhibits pyruvate dehydrogenase kinase and shifts mitochondrial fuel use. Immunometabolic control is relevant to myeloid state, but the 3:1 result is unreplicated and could still reflect acute metabolic stress.	unreplicated_single_profile	0.7012199	0.8985444247722632	0.24067108	0.5359419941902162	pass
16	BRD-K79382620	BRD-K79382620	observed_thp1	2	3	1	RHOH|RABEP1|PSMC3	PLEKHA1	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is favorable, but this perturbagen has no resolved compound identity, MOA, or target annotation. The single THP1 profile is insufficient for biological prioritization without chemical identification.	unreplicated_single_profile	0.69055825	0.8985444247722632	-0.33190826	0.5359419941902162	pass
17	BRD-K14329163	BRD-K14329163	observed_thp1	2	3	1	USP6NL|CTSH|CASS4	ZYX	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is favorable, but neither identity nor pharmacology is resolved and only one THP1 profile is available. Treat it as a signature lead pending compound and target confirmation.	unreplicated_single_profile	0.32403335	0.8985444247722632	-0.10396763	0.5359419941902162	pass
18	BRD-K00615600	AG-14361	observed_thp1	2	2	0	PICALM|CASS4		Preclinical	PARP inhibitor	PARP1	not annotated		likely_nonspecific_or_toxic	AG-14361 inhibits PARP1 and can sensitize cells to DNA damage. Although its 2:0 pattern passes the transcriptional stress screen, an unreplicated DNA-repair perturbation is a poor chronic AD lead without viability data.	unreplicated_single_profile	0.16413333	0.8985444247722632	-0.021050345	0.5359419941902162	pass
19	BRD-K88573743	A-443654	observed_thp1	2	2	0	RABEP1|USP6NL		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	A-443654 is an AKT-pathway inhibitor. PI3K-AKT signaling can regulate myeloid inflammatory and survival states, and the 2:0 response is replicated, but pathway breadth and survival effects require dose-response validation.	replicated_consistent	-0.11810565	0.8985444247722632	0.49868438	0.5359419941902162	pass
20	BRD-K49456190	prima-1-met	observed_thp1	2	2	0	PICALM|EPHA1		not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	PRIMA-1-MET is a redox-active p53-reactivating compound developed for cancer. Its 2:0 signal passes the present screen but is unreplicated and remains likely to reflect electrophilic or oxidative stress.	unreplicated_single_profile	0.52334166	0.8985444247722632	-0.029327873	0.5359419941902162	pass
21	BRD-K16406336	methylene-blue	observed_thp1	2	2	0	CASP2|RABEP1		Launched	guanylyl cyclase inhibitor|nitric oxide production inhibitor	ACHE	hematology	methemoglobinemia	plausible_with_caveats	Methylene blue is CNS-penetrant and affects redox, mitochondrial, cholinergic, and nitric-oxide biology. Those features create neurodegeneration interest, but its promiscuous pharmacology and single 2:0 profile limit attribution.	unreplicated_single_profile	0.06549168	0.8985444247722632	-0.06985151	0.5359419941902162	pass
22	BRD-K86682249	BRD-K86682249	observed_thp1	2	2	0	BIN1|CASP2		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 2:0 pattern is favorable, but the perturbagen has no resolved name, MOA, or target and only one THP1 profile. It cannot be assessed biologically until the chemical identity is established.	unreplicated_single_profile	0.59415716	0.8985444247722632	0.0173972	0.5359419941902162	pass
23	BRD-A70449690	forskolin	observed_thp1	2	2	0	USP6NL|CASS4		Launched	adenylyl cyclase activator	ADCY2|ADCY5|GNAS	not annotated		plausible_with_caveats	Forskolin raises cAMP through adenylyl cyclase, a pathway that can restrain some inflammatory myeloid programs. The mechanism is coherent, but the 2:0 result is unreplicated and forskolin is a broad experimental probe.	unreplicated_single_profile	0.4085708	0.8985444247722632	-0.008440581	0.5359419941902162	pass
24	BRD-K96354014	nifedipine	observed_thp1	2	2	0	PICALM|RABEP1		Launched	calcium channel blocker	CACNA1C|CACNA1D|CACNA1F|CACNA1H|CACNA1S|CACNA2D1|CACNB2|CALM1|GLRA1|GLRA3|GLRB|KCNA1|KCNA5|NR1I2|TRPM3	cardiology	vasospastic angina|chronic stable angina	plausible_with_caveats	Nifedipine is a launched calcium-channel blocker with vascular relevance and possible indirect effects on brain health. Its single 2:0 THP1 profile does not establish a microglial target mechanism or CNS exposure-response link.	unreplicated_single_profile	0.060650002	0.8985444247722632	-0.007271305	0.5359419941902162	pass
25	BRD-A63646118	fumonisin-b1	observed_thp1	2	2	0	BIN1|CTSH		Preclinical	not annotated	CERS1	not annotated		likely_nonspecific_or_toxic	Fumonisin B1 is a ceramide-synthase inhibitor and established mycotoxin. The 2:0 pattern may illuminate sphingolipid biology, but toxicity and broad lipid disruption make it unsuitable as a therapeutic lead.	unreplicated_single_profile	0.034029998	0.8985444247722632	-0.16037075	0.5359419941902162	pass
26	BRD-K02389548	RG-2833	observed_thp1	2	2	0	RABEP1|CTSH		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	RG-2833 is associated with class-I HDAC inhibition. Epigenetic regulation can alter myeloid activation, and the 2:0 response is replicated, but broad chromatin effects and incomplete local target annotation limit specificity.	replicated_consistent	0.8838248	0.8985444247722632	0.25232658	0.5359419941902162	pass
27	BRD-K35716340	BRD-K35716340	observed_thp1	2	2	0	USP6NL|RABEP1		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 2:0 pattern is favorable, but no compound name, MOA, or target is resolved and the THP1 result is unreplicated. Chemical identification is required before this signature can support a biological hypothesis.	unreplicated_single_profile	-0.10670002	0.8985444247722632	0.010978156	0.5359419941902162	pass
28	BRD-K13049116	BMS-754807	observed_thp1	2	2	0	CASS4|CTSH		Phase 2	IGF-1 inhibitor	AKT1|IGF1R	not annotated		plausible_with_caveats	BMS-754807 inhibits IGF1R and AKT-linked signaling. This axis can affect myeloid metabolism and survival, but the 2:0 result is unreplicated and oncology-class pathway inhibition may have a narrow tolerability window.	unreplicated_single_profile	0.48394284	0.8985444247722632	-0.20173682	0.5359419941902162	pass
29	BRD-K99818283	PIK-90	observed_thp1	1	4	3	ZYX|GSTK1|BIN1|PLEKHA1	RABEP1|RHOH|CASS4	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	PIK-90 is a PI3K-family inhibitor, providing a plausible immune-signaling link. Its 4:3 pattern is nearly balanced, however, and the single profile offers weak evidence for a selective protective program.	unreplicated_single_profile	0.5114151	0.8985444247722632	0.3952213	0.5359419941902162	pass
30	BRD-K01877528	TL-HRAS-61	observed_thp1	1	3	2	EPHA1|PICALM|ZYX	CTSH|CASS4	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	TL-HRAS-61 is used as a RAS-pathway perturbagen, which could affect inflammatory signaling. The 3:2 pattern is mixed, unreplicated, and lacks adequate target annotation, so it is best treated as a pathway probe.	unreplicated_single_profile	0.2529	0.8985444247722632	0.0072739976	0.5359419941902162	pass
