rank	pert_id	pert_iname	response_source	net_sig_protective_genes	n_sig_protective_genes	n_sig_opposing_genes	protective_genes_abs1	opposing_genes_abs1	clinical_phase	moa	target	disease_area	indication	reasonableness	biology_read
1	BRD-K04623885	BIBR-1532	observed_thp1	6	6	0	CASP2|GSTK1|CASS4|USP6NL|RABEP1|RHOH		Preclinical	telomerase inhibitor	TERT	not annotated		likely_nonspecific_or_toxic	Telomerase inhibition can induce senescence and DNA-damage programs. The clean 6:0 gene pattern is strong, but there is no direct microglial AD rationale and the THP1 response may primarily reflect cellular stress.
2	BRD-K18190982	COT-10b	observed_thp1	4	5	1	CASP2|RHOH|RABEP1|BIN1|PSMC3	USP6NL	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 5:1 pattern is favorable, but neither a resolved compound identity nor MOA/target annotation is available. Treat this as a transcriptional lead requiring chemical identity and target confirmation.
3	BRD-K89014967	AS-703026	observed_thp1	3	6	3	GSTK1|CASP2|EPHA1|RHOH|CTSH|RABEP1	ZYX|PLEKHA1|PSMC3	Phase 2	MEK inhibitor	MAP2K1|MAP2K2	not annotated		plausible_with_caveats	MEK-ERK signaling regulates myeloid inflammatory activation, making MEK1/2 inhibition biologically plausible. The 6:3 pattern is mixed, and systemic MEK inhibition has substantial on-target toxicity.
4	BRD-A35588707	teniposide	observed_thp1	3	4	1	PSMC3|BIN1|ZYX|USP6NL	CASS4	Launched	topoisomerase inhibitor	TOP2A|TOP2B	hematologic malignancy	acute lymphoblastic leukemia (ALL)	likely_nonspecific_or_toxic	Teniposide is a cytotoxic TOP2 inhibitor. Its 4:1 pattern is more likely to reflect DNA-damage and cell-cycle stress than a selective AD-protective microglial mechanism.
5	BRD-K01868942	RS-23597-190	observed_thp1	3	4	1	PICALM|ZYX|CTSH|BIN1	CASS4	Preclinical	serotonin receptor antagonist	HTR4	not annotated		plausible_with_caveats	HTR4 signaling is relevant to CNS and immune physiology, but an HTR4-antagonist mechanism is not an established microglial AD strategy. The 4:1 pattern is interesting but mechanistically weak without target validation in THP1.
6	BRD-K01779529	fluoropyruvate	observed_thp1	3	4	1	PICALM|CASS4|USP6NL|RHOH	PSMC3	not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Fluoropyruvate perturbs core pyruvate metabolism. The 4:1 pattern is therefore likely driven by broad bioenergetic stress rather than a tractable, selective protective mechanism.
7	BRD-K93095519	SJ-172550	observed_thp1	3	3	0	PLEKHA1|CASS4|CTSH		Preclinical	MDM inhibitor	MDM4	not annotated		likely_nonspecific_or_toxic	SJ-172550 disrupts MDM4-p53 signaling, but it has chemical-stability/promiscuity concerns and reported neuronal toxicity. Its 3:0 pattern is more consistent with a p53/stress response than an AD-repurposing lead.
8	BRD-A98248982	BRD-A98248982	observed_thp1	3	3	0	PLEKHA1|EPHA1|RHOH		not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:0 pattern is favorable, but the perturbagen has no resolved name, MOA, or target annotation. Chemical identity and orthogonal target data are required before biological interpretation.
9	BRD-K30677119	PP-30	observed_thp1	3	3	0	CTSH|GSTK1|CASS4		not annotated	not annotated	not annotated	not annotated		uninterpretable	PP-30 has a 3:0 pattern but lacks a reliable public MOA annotation in the current resources. It remains a chemical-signature lead rather than a biologically interpretable candidate.
10	BRD-K75532464	FTI-276	observed_thp1	3	3	0	USP6NL|CASS4|PICALM		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	FTI-276 inhibits protein farnesylation and can alter RAS-family signaling, vesicle trafficking, and inflammatory programs. Those processes are relevant to myeloid biology, but prenylation inhibition is broad and the 3:0 result needs confirmation with better-characterized inhibitors.
11	BRD-K71799778	BML-259	observed_thp1	3	3	0	PICALM|CASP2|EPHA1		not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	BML-259 inhibits CDK5 and CDK2. CDK5 has neurodegeneration relevance, but a THP1 signature may also reflect CDK2 or broader kinase effects; the 3:0 pattern supports use as a pathway probe, not yet as a therapeutic lead.
12	BRD-K16701932	Gly-Gly-PALO	observed_thp1	3	3	0	PLEKHA1|ZYX|RABEP1		not annotated	not annotated	not annotated	not annotated		likely_nonspecific_or_toxic	Gly-Gly-PALO inhibits ornithine transcarbamylase and perturbs arginine/urea-cycle metabolism. The 3:0 pattern may reflect metabolic stress, with little direct support for selective microglial AD benefit.
13	BRD-K57080016	selumetinib	observed_thp1	3	3	0	CASP2|GSTK1|CTSH		Phase 3	MEK inhibitor	MAP2K1	not annotated		plausible_with_caveats	Selumetinib is a clinically characterized MEK1/2 inhibitor. Its 3:0 pattern and inflammatory MAPK rationale are coherent, although chronic CNS exposure, microglial specificity, and class toxicity remain concerns.
14	BRD-K37694030	doxepin	observed_thp1	3	3	0	CASP2|RHOH|BIN1		Launched	histamine receptor antagonist	HRH1|SLC6A2|SLC6A4	neurology/psychiatry	depression|anxiety	plausible_with_caveats	Doxepin is CNS-penetrant and modulates histamine and monoamine signaling, but sedation and anticholinergic burden limit an AD-repurposing argument. The 3:0 THP1 pattern has no clear target-level link to the coloc genes.
15	BRD-K73395020	ARP-101	observed_thp1	2	4	2	CASS4|RABEP1|EPHA1|PICALM	PLEKHA1|BIN1	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	ARP-101 is an MMP2 inhibitor that can induce autophagy-associated cell death. Extracellular-matrix remodeling is relevant to neuroinflammation, but the mixed 4:2 pattern may reflect autophagic or cytotoxic stress.
16	BRD-A73680854	PT-630	observed_thp1	2	4	2	RHOH|ZYX|CASS4|RABEP1	USP6NL|CTSH	not annotated	not annotated	not annotated	not annotated		plausible_with_caveats	PT-630 inhibits FAP and related dipeptidyl peptidases, which can affect immune signaling. Its 4:2 pattern is mixed, and there is no strong evidence that this extracellular-protease mechanism is beneficial in microglia or AD.
17	BRD-A13122391	triptolide	observed_thp1	2	4	2	CASP2|GSTK1|USP6NL|EPHA1	PLEKHA1|ZYX	Phase 3	RNA polymerase inhibitor	RELA	not annotated		plausible_with_caveats	Triptolide suppresses NF-kB/inflammatory transcription, which is relevant to activated myeloid cells. However, it is a broad transcriptional inhibitor with substantial toxicity, and the 4:2 pattern includes opposing effects.
18	BRD-A09533288	verapamil	observed_thp1	2	4	2	CASP2|BIN1|ZYX|CTSH	PSMC3|EPHA1	Launched	calcium channel blocker	CACNA1A|CACNA1B|CACNA1C|CACNA1D|CACNA1F|CACNA1G|CACNA1I|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|CYP3A4|KCNA10|KCNA7|KCNH2|KCNJ11|NALCN|SCN5A|SLC29A4|SLC6A4	cardiology	hypertension	plausible_with_caveats	Verapamil has a coherent calcium-signaling and vascular/immune rationale and is clinically used. The 4:2 pattern is mixed, and peripheral THP1 effects do not establish beneficial CNS or microglial exposure.
19	BRD-K59325863	delanzomib	observed_thp1	2	4	2	USP6NL|PSMC3|CASP2|RABEP1	RHOH|PLEKHA1	Phase 1/Phase 2	proteasome inhibitor	CMA1|CTSG|CYP3A4|ELANE	not annotated		likely_nonspecific_or_toxic	Delanzomib is a proteasome inhibitor. Proteostasis is relevant to neurodegeneration, but proteasome blockade is cytotoxic and the 4:2 pattern likely captures a general stress response.
20	BRD-K15108141	gemcitabine	observed_thp1	2	4	2	BIN1|PICALM|EPHA1|CASP2	CASS4|PLEKHA1	Launched	ribonucleotide reductase inhibitor	CMPK1|RRM1|RRM2|TYMS	oncology	ovarian cancer|breast cancer|non-small cell lung cancer (NSCLC)|pancreatic cancer	likely_nonspecific_or_toxic	Gemcitabine is an antiproliferative nucleoside analog targeting DNA synthesis. The 4:2 pattern is likely driven by replication/metabolic stress and provides little rationale for chronic AD treatment.
21	BRD-K83354763	BRD-K83354763	observed_thp1	2	3	1	RHOH|CASS4|GSTK1	PLEKHA1	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is positive, but the perturbagen lacks a resolved compound name, MOA, and target annotation. It requires chemical identification before prioritization.
22	BRD-K53903639	CHEMBL-1222381	observed_thp1	2	3	1	RABEP1|ZYX|CASP2	USP6NL	not annotated	not annotated	not annotated	not annotated		uninterpretable	CHEMBL-1222381 has a 3:1 pattern but no usable MOA or target annotation in the current resources. The result is not biologically interpretable without identity and pharmacology curation.
23	BRD-A36275421	BRD-A36275421	observed_thp1	2	3	1	RHOH|CASP2|PSMC3	CASS4	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is positive, but the perturbagen has no resolved name, MOA, or target annotation. Treat it as an uncharacterized signature hit pending chemical and target validation.
24	BRD-K93176058	AC-55649	observed_thp1	2	3	1	RHOH|CTSH|PICALM	USP6NL	Preclinical	retinoid receptor agonist	RARA|RARB	not annotated		plausible_with_caveats	AC-55649 is an RAR-alpha/beta agonist. Retinoid signaling can alter myeloid differentiation and inflammatory state, making the 3:1 pattern plausible, but it is preclinical and includes an opposing USP6NL effect.
25	BRD-K12762134	XAV-939	observed_thp1	2	3	1	EPHA1|BIN1|CASS4	CASP2	Preclinical	tankyrase inhibitor	TNKS|TNKS2	not annotated		plausible_with_caveats	XAV-939 inhibits tankyrase and alters Wnt/beta-catenin and PAR-dependent signaling. These pathways intersect with inflammation and glial state, but the mechanism is broad and the 3:1 pattern needs microglial validation.
26	BRD-A19500257	geldanamycin	observed_thp1	2	3	1	CASP2|GSTK1|ZYX	CASS4	Preclinical	HSP inhibitor	HSP90AA1	not annotated		likely_nonspecific_or_toxic	Geldanamycin inhibits HSP90 and produces a broad proteotoxic response. Despite a 3:1 pattern, toxicity and heat-shock pathway activation make it more useful as a mechanism probe than a repurposing candidate.
27	BRD-K55395145	pemetrexed	observed_thp1	2	3	1	GSTK1|PICALM|RABEP1	BIN1	Launched	dihydrofolate reductase inhibitor|thymidylate synthase inhibitor	ATIC|DHFR|GART|TYMS	oncology	non-small cell lung cancer (NSCLC)|mesothelioma	likely_nonspecific_or_toxic	Pemetrexed is a cytotoxic antifolate that blocks nucleotide synthesis. Its 3:1 pattern is likely an antiproliferative or metabolic-stress signature rather than selective correction of AD biology.
28	BRD-K96123349	brequinar	observed_thp1	2	3	1	USP6NL|RABEP1|PSMC3	PLEKHA1	Phase 2	dihydroorotate dehydrogenase inhibitor	DHODH	not annotated		plausible_with_caveats	Brequinar inhibits DHODH and can suppress activated immune cells through pyrimidine depletion. This immunometabolic mechanism is plausible, but the 3:1 pattern may also reflect antiproliferative stress and is not microglia-specific.
29	BRD-K27316855	calcitriol	observed_thp1	2	3	1	BIN1|RABEP1|CASS4	PICALM	Launched	vitamin D receptor agonist	VDR	endocrinology|orthopedics	hypocalcemia|hypoparathyroidism|osteoporosis	plausible_with_caveats	Calcitriol activates VDR and has established immunomodulatory effects in myeloid cells. The 3:1 pattern is coherent, but systemic calcium effects, CNS exposure, and the opposing PICALM response require caution.
30	BRD-K71726959	BRD-K71726959	observed_thp1	2	3	1	PICALM|GSTK1|CASP2	EPHA1	not annotated	not annotated	not annotated	not annotated		uninterpretable	The 3:1 pattern is favorable, but no resolved compound identity, MOA, or target is available. It should remain an uncharacterized transcriptional lead until the perturbagen is identified.
